number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
62	0.9659149763848411	2020-07-12 06:46:21.657061	2020-07-12 07:58:06.639264	0 days 01:11:44.982203000	6	0.05	3	2000	0.00029159014274243565	COMPLETE
63	0.9678770752202681	2020-07-12 07:58:06.639902	2020-07-12 09:39:02.064206	0 days 01:40:55.424304000	6	0.1	3	2300	0.00039672771514730426	COMPLETE
64	0.9665978868073783	2020-07-12 09:39:02.084165	2020-07-12 10:31:36.945241	0 days 00:52:34.861076000	6	0.15000000000000002	3	1700	0.00019266800178651273	COMPLETE
65	0.9646100679828331	2020-07-12 10:31:36.945910	2020-07-12 12:32:18.954145	0 days 02:00:42.008235000	6	0.05	3	2100	0.0005301856775796973	COMPLETE
66	0.9653519483949582	2020-07-12 12:32:18.976244	2020-07-12 14:26:48.961586	0 days 01:54:29.985342000	5	0.1	3	2100	0.0005523797958729993	COMPLETE
67	inf	2020-07-12 14:26:48.985042	2020-07-12 14:33:01.086641	0 days 00:06:12.101599000	6	0.0	3	2400	0.0006345686448100622	COMPLETE
68	inf	2020-07-12 14:33:01.087342	2020-07-12 14:37:45.537186	0 days 00:04:44.449844000	6	0.15000000000000002	3	1900	0.0007583263205015906	COMPLETE
69	0.9642150103084769	2020-07-12 14:37:45.537962	2020-07-12 16:26:46.800736	0 days 01:49:01.262774000	5	0.05	3	2200	0.00046185963688837565	COMPLETE
70	0.9657656194141556	2020-07-12 16:26:46.828563	2020-07-12 17:46:29.956887	0 days 01:19:43.128324000	4	0.05	3	2200	0.00046515305113219743	COMPLETE
71	0.9712377907789809	2020-07-12 17:46:29.989567	2020-07-12 18:10:34.572666	0 days 00:24:04.583099000	3	0.0	3	2000	0.0003294854157526297	COMPLETE
72	inf	2020-07-12 18:10:34.573282	2020-07-12 18:14:08.501844	0 days 00:03:33.928562000	6	0.05	3	2300	0.0010930680092852592	COMPLETE
73	0.9638129846517868	2020-07-12 18:14:08.502515	2020-07-12 19:13:13.965090	0 days 00:59:05.462575000	5	0.1	3	2100	0.0004131663562259989	COMPLETE
74	0.9658566359978035	2020-07-12 19:13:13.965752	2020-07-12 20:42:41.714734	0 days 01:29:27.748982000	5	0.1	3	2200	0.00039262459678236837	COMPLETE
75	0.9647373305612211	2020-07-12 20:42:41.715516	2020-07-12 21:50:30.117181	0 days 01:07:48.401665000	4	0.1	3	2100	0.0002780126021371787	COMPLETE
76	0.9651457637089865	2020-07-12 21:50:30.136731	2020-07-12 23:14:00.527421	0 days 01:23:30.390690000	5	0.15000000000000002	3	1900	0.00020882583266879903	COMPLETE
77	0.9660728593954763	2020-07-12 23:14:00.544526	2020-07-13 00:59:40.183666	0 days 01:45:39.639140000	5	0.1	3	2400	0.0004542099632603711	COMPLETE
78	0.9651083778831955	2020-07-13 00:59:40.184283	2020-07-13 02:49:42.378731	0 days 01:50:02.194448000	5	0.2	3	1800	0.0001723098600231192	COMPLETE
79	0.9666453131901814	2020-07-13 02:49:42.379357	2020-07-13 03:37:29.847892	0 days 00:47:47.468535000	4	0.05	3	2000	0.00010180179618023788	COMPLETE
