number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
49	1.8627070742115648	2020-07-02 01:26:53.441636	2020-07-02 01:50:26.324333	0 days 00:23:32.882697000	4	0.1	3	700	7.257800903816005e-05	COMPLETE
50	1.8691154623277657	2020-07-02 01:50:26.324952	2020-07-02 02:15:07.374908	0 days 00:24:41.049956000	4	0.1	3	600	0.00020812294812276068	COMPLETE
51	1.872272213076728	2020-07-02 02:15:07.375510	2020-07-02 02:37:39.753918	0 days 00:22:32.378408000	3	0.1	3	700	7.842432564074333e-05	COMPLETE
52	1.8642826755837911	2020-07-02 02:37:39.783084	2020-07-02 03:01:56.717678	0 days 00:24:16.934594000	5	0.05	3	400	0.0001271078082193375	COMPLETE
53	1.8710146351233172	2020-07-02 03:01:56.718279	2020-07-02 03:21:30.697777	0 days 00:19:33.979498000	4	0.0	3	400	0.00012314562386765566	COMPLETE
54	1.8722315192892618	2020-07-02 03:21:30.698397	2020-07-02 03:42:44.083523	0 days 00:21:13.385126000	3	0.05	3	500	0.00011193980276263175	COMPLETE
55	1.8783919949976626	2020-07-02 03:42:44.084155	2020-07-02 04:05:14.574442	0 days 00:22:30.490287000	6	0.0	3	300	7.741621164999155e-05	COMPLETE
56	1.8634906056772385	2020-07-02 04:05:14.576134	2020-07-02 04:31:57.606074	0 days 00:26:43.029940000	5	0.1	3	600	5.698550340451876e-05	COMPLETE
57	1.8682631964970435	2020-07-02 04:31:57.606696	2020-07-02 04:54:53.123322	0 days 00:22:55.516626000	4	0.1	3	400	0.0001973043747639492	COMPLETE
58	1.8656954902070553	2020-07-02 04:54:53.144318	2020-07-02 05:20:27.535782	0 days 00:25:34.391464000	5	0.05	3	700	5.734930853810173e-05	COMPLETE
59	1.8763904120695158	2020-07-02 05:20:27.536401	2020-07-02 05:48:59.805649	0 days 00:28:32.269248000	6	0.0	2	600	0.000268810995774851	COMPLETE
60	1.8720355484547795	2020-07-02 05:48:59.806277	2020-07-02 06:48:59.726441	0 days 00:59:59.920164000	5	0.05	3	2100	0.00013975161130978865	COMPLETE
61	1.869705937869382	2020-07-02 06:48:59.728178	2020-07-02 07:19:30.627154	0 days 00:30:30.898976000	5	0.1	3	800	5.1087272407272765e-05	COMPLETE
62	1.8664706544942882	2020-07-02 07:19:30.628265	2020-07-02 07:43:55.850265	0 days 00:24:25.222000000	5	0.1	3	500	6.541771057059874e-05	COMPLETE
63	1.864186873954858	2020-07-02 07:43:55.850900	2020-07-02 08:15:14.536273	0 days 00:31:18.685373000	5	0.15000000000000002	3	900	3.847551201155322e-05	COMPLETE
64	1.8714323358954037	2020-07-02 08:15:14.538067	2020-07-02 08:47:35.867262	0 days 00:32:21.329195000	5	0.15000000000000002	3	600	4.2337167791132454e-05	COMPLETE
65	1.8740761364416891	2020-07-02 08:47:35.867887	2020-07-02 09:18:15.278318	0 days 00:30:39.410431000	6	0.05	3	700	2.8487988617899425e-05	COMPLETE
66	1.8785060152835718	2020-07-02 09:18:15.279013	2020-07-02 09:42:59.401582	0 days 00:24:44.122569000	4	0.1	3	400	3.5233663317103135e-05	COMPLETE
67	1.8689036456097285	2020-07-02 09:42:59.403027	2020-07-02 10:06:07.898811	0 days 00:23:08.495784000	5	0.0	3	300	9.873694148393768e-05	COMPLETE
68	1.8650850203908733	2020-07-02 10:06:07.899456	2020-07-02 10:35:19.358232	0 days 00:29:11.458776000	6	0.05	3	900	8.130085508954095e-05	COMPLETE
69	1.8812202843918533	2020-07-02 10:35:19.358869	2020-07-02 10:55:38.134165	0 days 00:20:18.775296000	2	0.15000000000000002	3	700	4.76156148524286e-05	COMPLETE
70	1.8694094165419584	2020-07-02 10:55:38.134790	2020-07-02 11:24:31.021888	0 days 00:28:52.887098000	5	0.15000000000000002	3	900	3.7327310680051825e-05	COMPLETE
71	1.8732326697789172	2020-07-02 11:24:31.082442	2020-07-02 11:46:25.358217	0 days 00:21:54.275775000	5	0.1	3	800	6.686800018063758e-05	COMPLETE
72	1.860849964413282	2020-07-02 11:46:25.365779	2020-07-02 12:09:12.119630	0 days 00:22:46.753851000	5	0.15000000000000002	3	900	5.7682124923675416e-05	COMPLETE
73	1.869467004646214	2020-07-02 12:09:12.120267	2020-07-02 12:50:42.803252	0 days 00:41:30.682985000	5	0.1	3	1700	2.8715052444463413e-05	COMPLETE
74	1.8671611031112523	2020-07-02 12:50:42.803937	2020-07-02 13:15:10.017255	0 days 00:24:27.213318000	5	0.15000000000000002	3	500	6.182495257631509e-05	COMPLETE
75	1.867443145546157	2020-07-02 13:15:10.017902	2020-07-02 13:38:28.879430	0 days 00:23:18.861528000	5	0.05	3	900	0.00010875578603021096	COMPLETE
76	1.872459823564814	2020-07-02 13:38:28.880077	2020-07-02 14:01:10.120121	0 days 00:22:41.240044000	4	0.2	3	600	8.108204218885703e-05	COMPLETE
