number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
52	0.01584608130065003	2020-10-11 06:07:23.186373	2020-10-11 06:25:11.512437	0 days 00:17:48.326064000	6	0.0	1	1000	1.1292379313532894e-05	COMPLETE
53	0.016373680551475197	2020-10-11 06:25:11.513080	2020-10-11 06:39:46.672882	0 days 00:14:35.159802000	6	0.05	1	1100	1.8881367277945417e-05	COMPLETE
54	0.01585829480871521	2020-10-11 06:39:46.673541	2020-10-11 07:02:44.164056	0 days 00:22:57.490515000	6	0.0	1	1300	2.668887642128761e-05	COMPLETE
55	0.015995383329911243	2020-10-11 07:02:44.164750	2020-10-11 07:26:02.391571	0 days 00:23:18.226821000	6	0.1	1	1300	2.5010581723710322e-05	COMPLETE
56	0.016298079672858626	2020-10-11 07:26:02.392248	2020-10-11 07:55:19.623407	0 days 00:29:17.231159000	6	0.05	1	1600	6.965710924147967e-05	COMPLETE
57	0.016641176047673217	2020-10-11 07:55:19.649094	2020-10-11 08:17:38.767603	0 days 00:22:19.118509000	5	0.25	1	1400	4.293096621410007e-05	COMPLETE
58	0.016110443568725052	2020-10-11 08:17:38.768243	2020-10-11 08:39:13.296165	0 days 00:21:34.527922000	6	0.15000000000000002	1	1200	2.602984251177323e-05	COMPLETE
59	0.0162719141506225	2020-10-11 08:39:13.296893	2020-10-11 08:59:49.332425	0 days 00:20:36.035532000	6	0.0	2	1500	3.60019850298437e-05	COMPLETE
60	0.01620135574967924	2020-10-11 08:59:49.333894	2020-10-11 09:13:39.517148	0 days 00:13:50.183254000	6	0.1	1	700	1.1854413660822793e-05	COMPLETE
61	0.01575595202671183	2020-10-11 09:13:39.519478	2020-10-11 09:31:22.528679	0 days 00:17:43.009201000	6	0.0	1	1000	1.6954882036693457e-05	COMPLETE
62	0.01597816698300523	2020-10-11 09:31:22.529312	2020-10-11 09:46:58.274708	0 days 00:15:35.745396000	6	0.0	1	800	1.719575376108985e-05	COMPLETE
63	0.015990352726793833	2020-10-11 09:46:58.276487	2020-10-11 10:10:22.507228	0 days 00:23:24.230741000	6	0.05	1	1300	1.5331016219107576e-05	COMPLETE
